x-axis,1,2,3
second,Volt,Volt,Volt
-980.000E-03,-201.005E-03,-1.316834E+00,-592.337E-03
-975.000E-03,-201.005E-03,-1.316834E+00,-240.578E-03
-970.000E-03,-175.879E-03,-1.447487E+00,+10.678E-03
-965.000E-03,-175.879E-03,-1.316834E+00,-215.452E-03
-960.000E-03,-201.005E-03,-1.316834E+00,-366.206E-03
-955.000E-03,-163.317E-03,-1.522864E+00,-730.528E-03
-950.000E-03,-201.005E-03,-1.316834E+00,-64.699E-03
-945.000E-03,-163.317E-03,-1.316834E+00,+73.492E-03
-940.000E-03,-175.879E-03,-1.336935E+00,-64.699E-03
-935.000E-03,-201.005E-03,-1.326884E+00,-793.342E-03
-930.000E-03,+0.0E+00,-1.306784E+00,-165.201E-03
-925.000E-03,-175.879E-03,-1.316834E+00,-542.085E-03
-920.000E-03,-201.005E-03,-1.326884E+00,+111.181E-03
-915.000E-03,-201.005E-03,-1.316834E+00,-416.457E-03
-910.000E-03,-201.005E-03,-1.346985E+00,-768.216E-03
-905.000E-03,+0.0E+00,-1.316834E+00,-366.206E-03
-900.000E-03,-163.317E-03,-1.613317E+00,-504.397E-03
-895.000E-03,-25.126E-03,-1.316834E+00,-114.950E-03
-890.000E-03,+0.0E+00,-1.457538E+00,-743.091E-03
-885.000E-03,-175.879E-03,-1.316834E+00,-240.578E-03
-880.000E-03,+0.0E+00,-1.316834E+00,-667.714E-03
-875.000E-03,-25.126E-03,-1.301759E+00,-190.327E-03
-870.000E-03,+0.0E+00,-1.316834E+00,-454.146E-03
-865.000E-03,+0.0E+00,-1.316834E+00,-102.387E-03
-860.000E-03,-25.126E-03,-1.588191E+00,-717.965E-03
-855.000E-03,-25.126E-03,-1.246482E+00,-140.075E-03
-850.000E-03,+0.0E+00,-1.598241E+00,-516.960E-03
-845.000E-03,-201.005E-03,-1.316834E+00,-768.216E-03
-840.000E-03,-175.879E-03,-1.316834E+00,-341.080E-03
-835.000E-03,-201.005E-03,-1.316834E+00,+73.492E-03
-830.000E-03,+0.0E+00,-1.417337E+00,-793.342E-03
-825.000E-03,-163.317E-03,-1.316834E+00,-14.447E-03
-820.000E-03,-163.317E-03,-1.593216E+00,-730.528E-03
-815.000E-03,-25.126E-03,-1.316834E+00,-466.709E-03
-810.000E-03,-175.879E-03,-1.316834E+00,+236.809E-03
-805.000E-03,-25.126E-03,-1.346985E+00,-567.211E-03
-800.000E-03,-175.879E-03,-1.316834E+00,-165.201E-03
-795.000E-03,-175.879E-03,-1.316834E+00,-516.960E-03
-790.000E-03,-163.317E-03,-1.316834E+00,-303.392E-03
-785.000E-03,-25.126E-03,-1.316834E+00,-630.025E-03
-780.000E-03,-25.126E-03,-1.316834E+00,+111.181E-03
-775.000E-03,-25.126E-03,-1.357035E+00,-416.457E-03
-770.000E-03,-175.879E-03,-1.387186E+00,-39.573E-03
-765.000E-03,-25.126E-03,-1.558040E+00,-743.091E-03
-760.000E-03,-201.005E-03,-1.316834E+00,-190.327E-03
-755.000E-03,-25.126E-03,-1.316834E+00,-341.080E-03
-750.000E-03,-201.005E-03,-1.316834E+00,-102.387E-03
-745.000E-03,-163.317E-03,-1.336935E+00,-240.578E-03
-740.000E-03,+0.0E+00,-1.316834E+00,-705.402E-03
-735.000E-03,-201.005E-03,-1.316834E+00,-114.950E-03
-730.000E-03,-201.005E-03,-1.326884E+00,-64.699E-03
-725.000E-03,-175.879E-03,-1.316834E+00,-215.452E-03
-720.000E-03,-175.879E-03,-1.306784E+00,-491.834E-03
-715.000E-03,-25.126E-03,-1.346985E+00,-692.839E-03
-710.000E-03,-163.317E-03,-1.336935E+00,-768.216E-03
-705.000E-03,-201.005E-03,-1.316834E+00,+236.809E-03
-700.000E-03,+0.0E+00,-1.246482E+00,+211.683E-03
