x-axis,1,2,3
second,Volt,Volt,Volt
-980.000E-03,-201.005E-03,-2.854523E+00,+4.407663E+00
-975.000E-03,-25.126E-03,-2.844472E+00,+4.307161E+00
-970.000E-03,+0.0E+00,-2.774121E+00,+4.483040E+00
-965.000E-03,-201.005E-03,-2.914824E+00,+4.256910E+00
-960.000E-03,-201.005E-03,-2.854523E+00,+4.344849E+00
-955.000E-03,-163.317E-03,-2.854523E+00,+4.168970E+00
-950.000E-03,-163.317E-03,-2.844472E+00,+4.344849E+00
-945.000E-03,-25.126E-03,-2.909799E+00,+3.993090E+00
-940.000E-03,-25.126E-03,-2.844472E+00,+4.809673E+00
-935.000E-03,-201.005E-03,-2.844472E+00,+4.106156E+00
-930.000E-03,-201.005E-03,-2.844472E+00,+4.483040E+00
-925.000E-03,+0.0E+00,-2.844472E+00,+4.231784E+00
-920.000E-03,-175.879E-03,-2.844472E+00,+4.030779E+00
-915.000E-03,-201.005E-03,-3.050502E+00,+4.520729E+00
-910.000E-03,-201.005E-03,-2.844472E+00,+4.608668E+00
-905.000E-03,-25.126E-03,-2.844472E+00,+4.658920E+00
-900.000E-03,-25.126E-03,-2.844472E+00,+4.055904E+00
-895.000E-03,-175.879E-03,-2.844472E+00,+4.106156E+00
-890.000E-03,-201.005E-03,-2.844472E+00,+4.457915E+00
-885.000E-03,-201.005E-03,-2.914824E+00,+4.658920E+00
-880.000E-03,-201.005E-03,-2.844472E+00,+4.859925E+00
-875.000E-03,-25.126E-03,-2.864573E+00,+4.495603E+00
-870.000E-03,-201.005E-03,-2.955025E+00,+3.892588E+00
-865.000E-03,-25.126E-03,-2.844472E+00,+4.809673E+00
-860.000E-03,-25.126E-03,-2.844472E+00,+4.483040E+00
-855.000E-03,-25.126E-03,-2.844472E+00,+4.633794E+00
-850.000E-03,-201.005E-03,-2.844472E+00,+4.055904E+00
-845.000E-03,-201.005E-03,-2.864573E+00,+4.558417E+00
-840.000E-03,-175.879E-03,-3.125879E+00,+3.880025E+00
-835.000E-03,-201.005E-03,-2.909799E+00,+4.759422E+00
-830.000E-03,-201.005E-03,-2.844472E+00,+4.407663E+00
-825.000E-03,+0.0E+00,-2.854523E+00,+4.520729E+00
-820.000E-03,-201.005E-03,-2.829397E+00,+4.834799E+00
-815.000E-03,-25.126E-03,-2.914824E+00,+4.432789E+00
-810.000E-03,+0.0E+00,-2.985176E+00,+4.282035E+00
-805.000E-03,+0.0E+00,-2.844472E+00,+4.055904E+00
-800.000E-03,+0.0E+00,-2.844472E+00,+4.256910E+00
-795.000E-03,+0.0E+00,-2.844472E+00,+4.081030E+00
-790.000E-03,-163.317E-03,-2.844472E+00,+4.608668E+00
-785.000E-03,-201.005E-03,-2.909799E+00,+4.583543E+00
-780.000E-03,-7.311558E+00,-2.844472E+00,+4.483040E+00
-775.000E-03,-8.668342E+00,-2.914824E+00,+4.809673E+00
-770.000E-03,-10.628141E+00,-3.055528E+00,+3.930276E+00
-765.000E-03,-10.854271E+00,-2.854523E+00,+4.030779E+00
-760.000E-03,-10.854271E+00,-2.844472E+00,+4.382538E+00
-755.000E-03,-10.854271E+00,-2.854523E+00,+4.055904E+00
-750.000E-03,-10.854271E+00,-2.844472E+00,+4.382538E+00
-745.000E-03,-10.816583E+00,-2.864573E+00,+3.653894E+00
-740.000E-03,-10.854271E+00,-2.844472E+00,+4.231784E+00
-735.000E-03,-10.854271E+00,-2.844472E+00,+3.503141E+00
-730.000E-03,-10.854271E+00,-2.985176E+00,+3.854899E+00
-725.000E-03,-10.854271E+00,-2.844472E+00,+3.603643E+00
-720.000E-03,-10.854271E+00,-2.844472E+00,+3.930276E+00
-715.000E-03,-10.854271E+00,-2.844472E+00,+2.875000E+00
-710.000E-03,-10.854271E+00,-2.844472E+00,+3.050879E+00
-705.000E-03,-10.678392E+00,-2.844472E+00,+2.648869E+00
-700.000E-03,-10.854271E+00,-2.844472E+00,+3.251884E+00
-695.000E-03,-10.854271E+00,-2.844472E+00,+2.975502E+00
-690.000E-03,-10.854271E+00,-3.005276E+00,+2.673995E+00
-685.000E-03,-10.854271E+00,-2.844472E+00,+2.246859E+00
-680.000E-03,-10.854271E+00,-2.844472E+00,+1.920226E+00
-675.000E-03,-10.854271E+00,-2.985176E+00,+2.246859E+00
-670.000E-03,-10.829146E+00,-2.844472E+00,+2.196608E+00
-665.000E-03,-10.816583E+00,-2.844472E+00,+2.171482E+00
-660.000E-03,-10.816583E+00,-2.854523E+00,+1.593593E+00
-655.000E-03,-10.854271E+00,-2.844472E+00,+1.844849E+00
-650.000E-03,-10.854271E+00,-2.944975E+00,+864.950E-03
-645.000E-03,-10.854271E+00,-2.854523E+00,+864.950E-03
-640.000E-03,-10.854271E+00,-2.844472E+00,+638.819E-03
-635.000E-03,-10.854271E+00,-2.884673E+00,+437.814E-03
-630.000E-03,-10.854271E+00,-2.854523E+00,+890.075E-03
-625.000E-03,-10.854271E+00,-2.874623E+00,+437.814E-03
-620.000E-03,-10.866834E+00,-2.844472E+00,+663.945E-03
-615.000E-03,-10.854271E+00,-2.844472E+00,+35.804E-03
-610.000E-03,-10.854271E+00,-2.874623E+00,+35.804E-03
-605.000E-03,-10.854271E+00,-2.844472E+00,+161.432E-03
-600.000E-03,-10.678392E+00,-2.914824E+00,-366.206E-03
-595.000E-03,-10.854271E+00,-2.914824E+00,-743.091E-03
-590.000E-03,-10.854271E+00,-2.884673E+00,-617.462E-03
-585.000E-03,-10.678392E+00,-2.844472E+00,-567.211E-03
-580.000E-03,-10.854271E+00,-2.909799E+00,-1.371231E+00
-575.000E-03,-10.854271E+00,-2.834422E+00,-918.970E-03
-570.000E-03,-10.854271E+00,-2.914824E+00,-1.496859E+00
-565.000E-03,-10.854271E+00,-2.844472E+00,-1.019472E+00
-560.000E-03,-10.854271E+00,-2.854523E+00,-918.970E-03
-555.000E-03,-10.854271E+00,-2.844472E+00,-1.672739E+00
-550.000E-03,-10.879397E+00,-2.844472E+00,-1.873744E+00
-545.000E-03,-10.854271E+00,-2.985176E+00,-2.250628E+00
-540.000E-03,-10.854271E+00,-2.844472E+00,-1.685302E+00
-535.000E-03,-10.854271E+00,-3.055528E+00,-2.476759E+00
-530.000E-03,-10.678392E+00,-2.844472E+00,-2.150126E+00
-525.000E-03,-10.678392E+00,-2.914824E+00,-3.054648E+00
-520.000E-03,-10.653266E+00,-2.844472E+00,-2.401382E+00
-515.000E-03,-10.653266E+00,-3.055528E+00,-3.130025E+00
-510.000E-03,-10.477387E+00,-2.844472E+00,-3.557161E+00
-505.000E-03,-10.653266E+00,-2.844472E+00,-2.627513E+00
-500.000E-03,-10.251256E+00,-2.844472E+00,-3.645101E+00
-495.000E-03,-10.251256E+00,-2.769095E+00,-3.192839E+00
-490.000E-03,-10.050251E+00,-3.005276E+00,-3.280779E+00
-485.000E-03,-9.849246E+00,-2.844472E+00,-3.657663E+00
-480.000E-03,-9.472362E+00,-2.844472E+00,-3.783292E+00
-475.000E-03,-9.623116E+00,-2.864573E+00,-4.587312E+00
-470.000E-03,-9.246231E+00,-2.844472E+00,-4.486809E+00
-465.000E-03,-9.246231E+00,-2.844472E+00,-4.386307E+00
-460.000E-03,-9.045226E+00,-2.844472E+00,-4.273241E+00
-455.000E-03,-8.856784E+00,-2.844472E+00,-4.939070E+00
-450.000E-03,-8.643216E+00,-2.844472E+00,-5.391332E+00
-445.000E-03,-8.643216E+00,-2.844472E+00,-5.391332E+00
-440.000E-03,-8.442211E+00,-2.844472E+00,-5.592337E+00
-435.000E-03,-8.241206E+00,-2.884673E+00,-5.793342E+00
-430.000E-03,-8.040201E+00,-2.874623E+00,-5.768216E+00
-425.000E-03,-7.864322E+00,-2.844472E+00,-6.195352E+00
-420.000E-03,-7.814070E+00,-2.844472E+00,-6.270729E+00
-415.000E-03,-7.638191E+00,-3.135930E+00,-6.207915E+00
-410.000E-03,-7.437186E+00,-2.844472E+00,-6.547111E+00
-405.000E-03,-7.236181E+00,-2.844472E+00,-6.245603E+00
-400.000E-03,-7.010050E+00,-2.844472E+00,-5.843593E+00
-395.000E-03,-6.834171E+00,-3.085678E+00,-6.396357E+00
-390.000E-03,-6.457286E+00,-2.914824E+00,-6.949121E+00
-385.000E-03,-6.633166E+00,-3.045477E+00,-6.622488E+00
-380.000E-03,-6.243719E+00,-2.844472E+00,-6.333543E+00
-375.000E-03,-6.243719E+00,-2.849497E+00,-6.748116E+00
-370.000E-03,-6.206030E+00,-2.869598E+00,-7.037060E+00
-365.000E-03,-6.030151E+00,-2.874623E+00,-7.577261E+00
-360.000E-03,-5.653266E+00,-2.844472E+00,-7.602387E+00
-355.000E-03,-5.628141E+00,-2.764070E+00,-6.622488E+00
-350.000E-03,-5.251256E+00,-2.834422E+00,-7.602387E+00
-345.000E-03,-5.251256E+00,-2.844472E+00,-7.024498E+00
-340.000E-03,-5.201005E+00,-2.844472E+00,-6.898869E+00
-335.000E-03,-5.226131E+00,-2.914824E+00,-7.929020E+00
-330.000E-03,-4.836683E+00,-2.769095E+00,-7.728015E+00
-325.000E-03,-5.025126E+00,-2.914824E+00,-8.004397E+00
-320.000E-03,-4.623116E+00,-2.834422E+00,-7.853643E+00
-315.000E-03,-4.623116E+00,-3.055528E+00,-7.527010E+00
-310.000E-03,-4.422111E+00,-2.844472E+00,-7.300880E+00
-305.000E-03,-4.396985E+00,-2.774121E+00,-7.979271E+00
-300.000E-03,-4.020101E+00,-2.844472E+00,-7.753141E+00
-295.000E-03,-4.221106E+00,-2.924874E+00,-7.313442E+00
-290.000E-03,-4.020101E+00,-3.045477E+00,-7.778266E+00
-285.000E-03,-4.020101E+00,-2.844472E+00,-7.778266E+00
-280.000E-03,-3.819096E+00,-2.844472E+00,-7.627513E+00
-275.000E-03,-3.793970E+00,-2.844472E+00,-7.326005E+00
-270.000E-03,-3.618090E+00,-2.844472E+00,-7.150126E+00
-265.000E-03,-3.618090E+00,-2.794221E+00,-7.125000E+00
-260.000E-03,-3.241206E+00,-2.774121E+00,-7.828518E+00
-255.000E-03,-3.417085E+00,-2.834422E+00,-7.903895E+00
-250.000E-03,-3.216080E+00,-2.764070E+00,-7.552136E+00
-245.000E-03,-3.216080E+00,-2.764070E+00,-7.439070E+00
-240.000E-03,-3.015075E+00,-2.784171E+00,-8.029523E+00
-235.000E-03,-2.814070E+00,-2.854523E+00,-8.079774E+00
-230.000E-03,-2.814070E+00,-2.764070E+00,-8.130025E+00
-225.000E-03,-2.814070E+00,-2.834422E+00,-7.677764E+00
-220.000E-03,-2.625628E+00,-2.975126E+00,-8.004397E+00
-215.000E-03,-2.613065E+00,-2.764070E+00,-8.205402E+00
-210.000E-03,-2.613065E+00,-3.005276E+00,-8.004397E+00
-205.000E-03,-2.412060E+00,-2.764070E+00,-7.376256E+00
-200.000E-03,-2.211055E+00,-2.784171E+00,-7.401382E+00
-195.000E-03,-2.236181E+00,-2.754020E+00,-8.130025E+00
-190.000E-03,-2.211055E+00,-2.764070E+00,-7.803392E+00
-185.000E-03,-2.211055E+00,-2.764070E+00,-8.029523E+00
-180.000E-03,-1.834171E+00,-2.683668E+00,-7.853643E+00
-175.000E-03,-1.984925E+00,-2.754020E+00,-7.175251E+00
-170.000E-03,-1.783920E+00,-2.683668E+00,-7.954146E+00
-165.000E-03,-1.809045E+00,-2.683668E+00,-8.079774E+00
-160.000E-03,-1.419598E+00,-2.683668E+00,-7.464196E+00
-155.000E-03,-1.608040E+00,-2.683668E+00,-7.527010E+00
-150.000E-03,-1.582915E+00,-2.713819E+00,-7.652638E+00
-145.000E-03,-1.432161E+00,-2.713819E+00,-7.778266E+00
-140.000E-03,-1.218593E+00,-2.683668E+00,-8.180277E+00
-135.000E-03,-1.582915E+00,-2.754020E+00,-8.104900E+00
-130.000E-03,-1.381910E+00,-2.683668E+00,-7.376256E+00
-125.000E-03,-1.206030E+00,-2.894724E+00,-7.841081E+00
-120.000E-03,-1.180905E+00,-2.683668E+00,-7.464196E+00
-115.000E-03,-1.005025E+00,-2.713819E+00,-7.803392E+00
-110.000E-03,-1.005025E+00,-2.683668E+00,-7.853643E+00
-105.000E-03,-1.005025E+00,-2.824372E+00,-8.029523E+00
-100.000E-03,-778.894E-03,-2.673618E+00,-7.878769E+00
-95.000E-03,-615.578E-03,-2.743970E+00,-7.238065E+00
-90.000E-03,-603.015E-03,-2.673618E+00,-7.552136E+00
-85.000E-03,-402.010E-03,-2.603266E+00,-7.037060E+00
-80.000E-03,-402.010E-03,-2.673618E+00,-7.878769E+00
-75.000E-03,-427.136E-03,-2.603266E+00,-7.602387E+00
-70.000E-03,-226.131E-03,-2.633417E+00,-7.426508E+00
-65.000E-03,-376.884E-03,-2.623367E+00,-7.200377E+00
-60.000E-03,-175.879E-03,-2.613317E+00,-6.999372E+00
-55.000E-03,-175.879E-03,-2.603266E+00,-7.577261E+00
-50.000E-03,+0.0E+00,-2.603266E+00,-7.878769E+00
-45.000E-03,+201.005E-03,-2.608291E+00,-8.205402E+00
-40.000E-03,+201.005E-03,-2.603266E+00,-7.263191E+00
-35.000E-03,+175.879E-03,-2.527889E+00,-7.640075E+00
-30.000E-03,+376.884E-03,-2.673618E+00,-7.125000E+00
-25.000E-03,+226.131E-03,-2.532915E+00,-7.652638E+00
-20.000E-03,+402.010E-03,-2.603266E+00,-7.753141E+00
-15.000E-03,+414.573E-03,-2.814322E+00,-7.577261E+00
-10.000E-03,+402.010E-03,-2.603266E+00,-7.401382E+00
-5.000E-03,+603.015E-03,-2.603266E+00,-7.112437E+00
+0.0E+00,+615.578E-03,-2.522864E+00,-7.037060E+00
+5.000E-03,+603.015E-03,-2.603266E+00,-7.815955E+00
+10.000E-03,+804.020E-03,-2.532915E+00,-7.225503E+00
+15.000E-03,+804.020E-03,-2.804271E+00,-7.778266E+00
+20.000E-03,+804.020E-03,-2.522864E+00,-6.911432E+00
+25.000E-03,+804.020E-03,-2.527889E+00,-7.263191E+00
+30.000E-03,+1.206030E+00,-2.532915E+00,-7.150126E+00
+35.000E-03,+1.017588E+00,-2.593216E+00,-7.652638E+00
+40.000E-03,+1.180905E+00,-2.527889E+00,-6.999372E+00
+45.000E-03,+1.005025E+00,-2.522864E+00,-7.037060E+00
+50.000E-03,+1.005025E+00,-2.693719E+00,-7.326005E+00
+55.000E-03,+1.005025E+00,-2.593216E+00,-6.346106E+00
+60.000E-03,+1.206030E+00,-2.804271E+00,-7.200377E+00
+65.000E-03,+1.381910E+00,-2.522864E+00,-6.810930E+00
+70.000E-03,+1.180905E+00,-2.522864E+00,-7.200377E+00
+75.000E-03,+1.206030E+00,-2.522864E+00,-7.049623E+00
+80.000E-03,+1.206030E+00,-2.583166E+00,-6.898869E+00
+85.000E-03,+1.017588E+00,-2.512814E+00,-6.798367E+00
+90.000E-03,+1.206030E+00,-2.467588E+00,-6.408920E+00
+95.000E-03,+1.206030E+00,-2.653518E+00,-6.245603E+00
+100.000E-03,+1.042714E+00,-2.512814E+00,-6.672739E+00
+105.000E-03,+1.218593E+00,-2.442462E+00,-5.743091E+00
+110.000E-03,+1.407035E+00,-2.442462E+00,-6.094849E+00
+115.000E-03,+1.206030E+00,-2.432412E+00,-5.667714E+00
+120.000E-03,+1.407035E+00,-2.432412E+00,-6.170226E+00
+125.000E-03,+1.381910E+00,-2.367085E+00,-5.868719E+00
+130.000E-03,+1.381910E+00,-2.583166E+00,-5.994347E+00
+135.000E-03,+1.407035E+00,-2.362060E+00,-5.768216E+00
+140.000E-03,+1.407035E+00,-2.377136E+00,-5.077261E+00
+145.000E-03,+1.407035E+00,-2.387186E+00,-4.675251E+00
+150.000E-03,+1.218593E+00,-2.377136E+00,-5.341081E+00
+155.000E-03,+1.381910E+00,-2.362060E+00,-4.637563E+00
+160.000E-03,+1.381910E+00,-2.367085E+00,-4.386307E+00
+165.000E-03,+1.407035E+00,-2.563065E+00,-5.341081E+00
+170.000E-03,+1.381910E+00,-2.573116E+00,-5.165201E+00
+175.000E-03,+1.218593E+00,-2.502764E+00,-4.863694E+00
+180.000E-03,+1.206030E+00,-2.296734E+00,-4.537060E+00
+185.000E-03,+1.218593E+00,-2.281658E+00,-3.820980E+00
+190.000E-03,+1.407035E+00,-2.281658E+00,-4.738065E+00
+195.000E-03,+1.407035E+00,-2.271608E+00,-4.511935E+00
+200.000E-03,+1.218593E+00,-2.206281E+00,-4.285804E+00
+205.000E-03,+1.218593E+00,-2.201256E+00,-4.336055E+00
+210.000E-03,+1.206030E+00,-2.201256E+00,-3.393844E+00
+215.000E-03,+1.206030E+00,-2.201256E+00,-4.361181E+00
+220.000E-03,+1.218593E+00,-2.412312E+00,-4.084799E+00
+225.000E-03,+1.381910E+00,-2.135930E+00,-3.180276E+00
+230.000E-03,+1.218593E+00,-2.120854E+00,-2.979271E+00
+235.000E-03,+1.206030E+00,-2.191206E+00,-3.393844E+00
+240.000E-03,+1.381910E+00,-2.120854E+00,-3.180276E+00
+245.000E-03,+1.381910E+00,-2.191206E+00,-3.155151E+00
+250.000E-03,+1.206030E+00,-2.120854E+00,-3.381281E+00
+255.000E-03,+1.206030E+00,-2.191206E+00,-2.489322E+00
+260.000E-03,+1.206030E+00,-2.191206E+00,-2.439070E+00
+265.000E-03,+1.206030E+00,-2.110804E+00,-2.527010E+00
+270.000E-03,+1.206030E+00,-2.040452E+00,-2.878769E+00
+275.000E-03,+1.017588E+00,-2.110804E+00,-3.104900E+00
+280.000E-03,+1.005025E+00,-2.040452E+00,-2.589824E+00
+285.000E-03,+1.005025E+00,-2.110804E+00,-1.949121E+00
+290.000E-03,+1.005025E+00,-2.120854E+00,-2.790829E+00
+295.000E-03,+1.017588E+00,-2.040452E+00,-2.238065E+00
+300.000E-03,+1.005025E+00,-2.251508E+00,-2.577261E+00
+305.000E-03,+1.005025E+00,-2.181156E+00,-2.376256E+00
+310.000E-03,+816.583E-03,-2.040452E+00,-1.635050E+00
+315.000E-03,+804.020E-03,-2.040452E+00,-1.434045E+00
+320.000E-03,+804.020E-03,-2.055528E+00,-1.836055E+00
+325.000E-03,+979.900E-03,-1.985176E+00,-1.371231E+00
+330.000E-03,+804.020E-03,-2.065578E+00,-2.150126E+00
+335.000E-03,+804.020E-03,-1.960050E+00,-1.371231E+00
+340.000E-03,+603.015E-03,-1.960050E+00,-1.949121E+00
+345.000E-03,+603.015E-03,-2.171106E+00,-1.584799E+00
+350.000E-03,+615.578E-03,-1.985176E+00,-1.383794E+00
+355.000E-03,+603.015E-03,-1.960050E+00,-1.408920E+00
+360.000E-03,+615.578E-03,-1.884673E+00,-1.547111E+00
+365.000E-03,+615.578E-03,-1.879648E+00,-1.572236E+00
+370.000E-03,+414.573E-03,-2.161055E+00,-1.584799E+00
+375.000E-03,+414.573E-03,-1.879648E+00,-1.094849E+00
+380.000E-03,+414.573E-03,-1.869598E+00,-768.216E-03
+385.000E-03,+414.573E-03,-1.799246E+00,-1.371231E+00
+390.000E-03,+577.889E-03,-1.834422E+00,-1.320980E+00
+395.000E-03,+402.010E-03,-1.799246E+00,-1.170226E+00
+400.000E-03,+402.010E-03,-1.834422E+00,-454.146E-03
+405.000E-03,+577.889E-03,-1.834422E+00,-805.905E-03
+410.000E-03,+414.573E-03,-1.799246E+00,-1.170226E+00
+415.000E-03,+603.015E-03,-1.824372E+00,-1.145101E+00
+420.000E-03,+402.010E-03,-1.718844E+00,-165.201E-03
+425.000E-03,+577.889E-03,-1.718844E+00,-567.211E-03
+430.000E-03,+577.889E-03,-1.718844E+00,-253.141E-03
+435.000E-03,+603.015E-03,-1.859548E+00,-969.221E-03
+440.000E-03,+402.010E-03,-1.638442E+00,-768.216E-03
+445.000E-03,+603.015E-03,-1.638442E+00,-717.965E-03
+450.000E-03,+402.010E-03,-1.779146E+00,-140.075E-03
+455.000E-03,+577.889E-03,-1.708794E+00,+224.246E-03
+460.000E-03,+603.015E-03,-1.733920E+00,-743.091E-03
+465.000E-03,+603.015E-03,-1.558040E+00,+148.869E-03
+470.000E-03,+603.015E-03,-1.558040E+00,-491.834E-03
+475.000E-03,+603.015E-03,-1.547990E+00,+224.246E-03
+480.000E-03,+804.020E-03,-1.558040E+00,-366.206E-03
+485.000E-03,+804.020E-03,-1.502764E+00,+375.000E-03
+490.000E-03,+804.020E-03,-1.477638E+00,+525.754E-03
+495.000E-03,+778.894E-03,-1.402261E+00,+199.121E-03
+500.000E-03,+804.020E-03,-1.412312E+00,+173.995E-03
+505.000E-03,+804.020E-03,-1.397236E+00,+199.121E-03
+510.000E-03,+778.894E-03,-1.412312E+00,+261.935E-03
+515.000E-03,+804.020E-03,-1.397236E+00,+60.930E-03
+520.000E-03,+804.020E-03,-1.316834E+00,+136.306E-03
+525.000E-03,+804.020E-03,-1.387186E+00,+952.889E-03
+530.000E-03,+804.020E-03,-1.316834E+00,+626.256E-03
+535.000E-03,+804.020E-03,-1.316834E+00,+111.181E-03
+540.000E-03,+778.894E-03,-1.341960E+00,+638.819E-03
+545.000E-03,+778.894E-03,-1.316834E+00,+513.191E-03
+550.000E-03,+804.020E-03,-1.316834E+00,+425.251E-03
+555.000E-03,+804.020E-03,-1.457538E+00,+312.186E-03
+560.000E-03,+804.020E-03,-1.377136E+00,+261.935E-03
+565.000E-03,+804.020E-03,-1.251508E+00,+714.196E-03
+570.000E-03,+615.578E-03,-1.377136E+00,+563.442E-03
+575.000E-03,+615.578E-03,-1.447487E+00,+827.261E-03
+580.000E-03,+804.020E-03,-1.306784E+00,+1.354899E+00
+585.000E-03,+979.900E-03,-1.171106E+00,+915.201E-03
+590.000E-03,+804.020E-03,-1.447487E+00,+915.201E-03
+595.000E-03,+778.894E-03,-1.161055E+00,+839.824E-03
+600.000E-03,+615.578E-03,-1.156030E+00,+890.075E-03
+605.000E-03,+603.015E-03,-1.181156E+00,+1.380025E+00
+610.000E-03,+603.015E-03,-1.075628E+00,+1.606156E+00
+615.000E-03,+577.889E-03,-1.145980E+00,+1.493090E+00
+620.000E-03,+402.010E-03,-1.075628E+00,+1.493090E+00
+625.000E-03,+577.889E-03,-1.216332E+00,+1.266960E+00
+630.000E-03,+402.010E-03,-1.065578E+00,+1.895100E+00
+635.000E-03,+603.015E-03,-1.075628E+00,+1.342337E+00
+640.000E-03,+402.010E-03,-995.226E-03,+1.719221E+00
+645.000E-03,+402.010E-03,-1.020352E+00,+2.309673E+00
+650.000E-03,+552.764E-03,-1.030402E+00,+2.158920E+00
+655.000E-03,+402.010E-03,-985.176E-03,+2.158920E+00
+660.000E-03,+402.010E-03,-985.176E-03,+1.844849E+00
+665.000E-03,+376.884E-03,-914.824E-03,+2.008166E+00
+670.000E-03,+213.568E-03,-914.824E-03,+2.234296E+00
+675.000E-03,+402.010E-03,-914.824E-03,+1.945352E+00
+680.000E-03,+577.889E-03,-929.899E-03,+2.070980E+00
+685.000E-03,+402.010E-03,-914.824E-03,+2.586055E+00
+690.000E-03,+402.010E-03,-1.055528E+00,+1.694095E+00
+695.000E-03,+402.010E-03,-834.422E-03,+2.070980E+00
+700.000E-03,+376.884E-03,-834.422E-03,+1.920226E+00
+705.000E-03,+402.010E-03,-859.548E-03,+2.209171E+00
+710.000E-03,+577.889E-03,-754.020E-03,+2.209171E+00
+715.000E-03,+376.884E-03,-759.045E-03,+2.297111E+00
+720.000E-03,+213.568E-03,-754.020E-03,+2.322236E+00
+725.000E-03,+402.010E-03,-754.020E-03,+2.209171E+00
+730.000E-03,+376.884E-03,-754.020E-03,+2.787060E+00
+735.000E-03,+402.010E-03,-754.020E-03,+2.146357E+00
