x-axis,1,2,3
second,Volt,Volt,Volt
-2.280000E+00,+26.261E-03,-2.965075E+00,+4.848618E+00
-2.275000E+00,-94.342E-03,-2.844472E+00,+5.250628E+00
-2.270000E+00,-34.040E-03,-2.924874E+00,+4.949121E+00
-2.265000E+00,-54.141E-03,-2.965075E+00,+4.584799E+00
-2.260000E+00,-34.040E-03,-2.904774E+00,+4.547111E+00
-2.255000E+00,-69.216E-03,-3.085678E+00,+4.697864E+00
-2.250000E+00,+11.186E-03,-2.904774E+00,+4.547111E+00
-2.245000E+00,-134.543E-03,-2.879648E+00,+4.635050E+00
-2.240000E+00,-69.216E-03,-2.944975E+00,+5.150126E+00
-2.235000E+00,-34.040E-03,-2.844472E+00,+4.697864E+00
-2.230000E+00,-34.040E-03,-2.844472E+00,+5.187814E+00
-2.225000E+00,-34.040E-03,-2.844472E+00,+5.250628E+00
-2.220000E+00,+26.261E-03,-2.844472E+00,+5.049623E+00
-2.215000E+00,-8.915E-03,-2.844472E+00,+4.848618E+00
-2.210000E+00,-34.040E-03,-2.879648E+00,+4.697864E+00
-2.205000E+00,+11.186E-03,-2.844472E+00,+5.049623E+00
-2.200000E+00,+11.186E-03,-2.844472E+00,+5.150126E+00
-2.195000E+00,-94.342E-03,-2.844472E+00,+4.635050E+00
-2.190000E+00,-8.915E-03,-2.844472E+00,+4.685302E+00
-2.185000E+00,-34.040E-03,-2.779146E+00,+5.099874E+00
-2.180000E+00,+11.186E-03,-2.844472E+00,+4.635050E+00
-2.175000E+00,-94.342E-03,-2.879648E+00,+4.785804E+00
-2.170000E+00,-134.543E-03,-2.844472E+00,+4.949121E+00
-2.165000E+00,-94.342E-03,-2.844472E+00,+5.049623E+00
-2.160000E+00,-69.216E-03,-2.844472E+00,+5.099874E+00
-2.155000E+00,-54.141E-03,-2.844472E+00,+5.037060E+00
-2.150000E+00,-54.141E-03,-2.844472E+00,+4.697864E+00
-2.145000E+00,-8.915E-03,-2.844472E+00,+5.351131E+00
-2.140000E+00,-54.141E-03,-2.844472E+00,+4.584799E+00
-2.135000E+00,-114.442E-03,-3.085678E+00,+4.584799E+00
-2.130000E+00,-154.643E-03,-2.844472E+00,+4.735553E+00
-2.125000E+00,-34.040E-03,-2.844472E+00,+4.848618E+00
-2.120000E+00,-134.543E-03,-2.904774E+00,+5.250628E+00
-2.115000E+00,-114.442E-03,-2.844472E+00,+4.697864E+00
-2.110000E+00,-69.216E-03,-3.085678E+00,+4.547111E+00
-2.105000E+00,-69.216E-03,-2.844472E+00,+5.200377E+00
-2.100000E+00,+11.186E-03,-2.844472E+00,+4.848618E+00
-2.095000E+00,-54.141E-03,-2.899749E+00,+4.898869E+00
-2.090000E+00,+11.186E-03,-2.965075E+00,+4.534548E+00
-2.085000E+00,+11.186E-03,-2.824372E+00,+4.785804E+00
-2.080000E+00,-54.141E-03,-2.899749E+00,+4.647613E+00
-2.075000E+00,-114.442E-03,-3.025377E+00,+4.748116E+00
-2.070000E+00,-69.216E-03,-2.844472E+00,+4.999372E+00
-2.065000E+00,-69.216E-03,-2.779146E+00,+5.351131E+00
-2.060000E+00,-54.141E-03,-2.844472E+00,+4.999372E+00
-2.055000E+00,-34.040E-03,-2.844472E+00,+5.049623E+00
-2.050000E+00,-54.141E-03,-2.844472E+00,+4.798367E+00
-2.045000E+00,-114.442E-03,-2.844472E+00,+4.785804E+00
-2.040000E+00,-94.342E-03,-2.844472E+00,+5.037060E+00
-2.035000E+00,+11.186E-03,-2.844472E+00,+5.200377E+00
-2.030000E+00,+11.186E-03,-2.844472E+00,+5.300879E+00
-2.025000E+00,-134.543E-03,-2.779146E+00,+5.037060E+00
-2.020000E+00,-54.141E-03,-2.899749E+00,+4.898869E+00
-2.015000E+00,+26.261E-03,-2.904774E+00,+4.748116E+00
-2.010000E+00,-54.141E-03,-2.965075E+00,+5.049623E+00
-2.005000E+00,-8.915E-03,-2.844472E+00,+4.584799E+00
-2.000000E+00,-134.543E-03,-2.844472E+00,+5.037060E+00
-1.995000E+00,-114.442E-03,-3.005276E+00,+4.848618E+00
-1.990000E+00,+26.261E-03,-2.844472E+00,+4.547111E+00
-1.985000E+00,+26.261E-03,-3.025377E+00,+4.685302E+00
-1.980000E+00,+11.186E-03,-2.844472E+00,+4.685302E+00
-1.975000E+00,-54.141E-03,-2.844472E+00,+4.496859E+00
-1.970000E+00,-149.618E-03,-2.844472E+00,+5.150126E+00
-1.965000E+00,-34.040E-03,-2.859548E+00,+4.848618E+00
-1.960000E+00,-34.040E-03,-2.844472E+00,+5.099874E+00
-1.955000E+00,-149.618E-03,-3.025377E+00,+4.886307E+00
-1.950000E+00,+11.186E-03,-2.824372E+00,+5.099874E+00
-1.945000E+00,-154.643E-03,-2.844472E+00,+4.685302E+00
-1.940000E+00,-134.543E-03,-2.844472E+00,+5.049623E+00
-1.935000E+00,-114.442E-03,-2.844472E+00,+5.150126E+00
-1.930000E+00,+26.261E-03,-2.844472E+00,+4.748116E+00
-1.925000E+00,+11.186E-03,-2.844472E+00,+4.886307E+00
-1.920000E+00,-34.040E-03,-2.844472E+00,+5.150126E+00
-1.915000E+00,+11.186E-03,-2.844472E+00,+4.748116E+00
-1.910000E+00,-134.543E-03,-2.844472E+00,+4.886307E+00
-1.905000E+00,-54.141E-03,-2.844472E+00,+5.187814E+00
-1.900000E+00,-8.915E-03,-2.844472E+00,+4.697864E+00
-1.895000E+00,+11.186E-03,-2.824372E+00,+5.300879E+00
-1.890000E+00,-54.141E-03,-2.844472E+00,+5.451633E+00
-1.885000E+00,-8.915E-03,-2.844472E+00,+4.898869E+00
-1.880000E+00,-114.442E-03,-2.844472E+00,+4.785804E+00
-1.875000E+00,-69.216E-03,-2.859548E+00,+4.898869E+00
-1.870000E+00,-134.543E-03,-2.844472E+00,+4.785804E+00
-1.865000E+00,+26.261E-03,-2.965075E+00,+5.351131E+00
-1.860000E+00,-54.141E-03,-2.824372E+00,+4.547111E+00
-1.855000E+00,-34.040E-03,-2.859548E+00,+5.049623E+00
-1.850000E+00,-134.543E-03,-2.859548E+00,+4.547111E+00
-1.845000E+00,-69.216E-03,-2.919849E+00,+4.898869E+00
-1.840000E+00,-8.915E-03,-2.844472E+00,+4.635050E+00
-1.835000E+00,-94.342E-03,-2.965075E+00,+4.383794E+00
-1.830000E+00,-54.141E-03,-2.844472E+00,+4.635050E+00
-1.825000E+00,+11.186E-03,-2.844472E+00,+4.685302E+00
