x-axis,1,2,3
second,Volt,Volt,Volt
-5.000000E+00,+489.698E-03,-1.640138E+00,+2.597864E+00
-4.995000E+00,+487.186E-03,-956.721E-03,+2.615452E+00
-4.990000E+00,+487.186E-03,-1.476822E+00,+2.316457E+00
-4.985000E+00,+467.085E-03,-1.238128E+00,+2.615452E+00
-4.980000E+00,+446.985E-03,-1.517023E+00,+2.557663E+00
-4.975000E+00,+469.598E-03,-1.014510E+00,+2.497362E+00
-4.970000E+00,+487.186E-03,-1.436621E+00,+2.638065E+00
-4.965000E+00,+446.985E-03,-655.214E-03,+2.638065E+00
-4.960000E+00,+446.985E-03,-1.155214E+00,+2.597864E+00
-4.955000E+00,+467.085E-03,-1.077324E+00,+2.597864E+00
-4.950000E+00,+449.497E-03,-1.195415E+00,+2.597864E+00
-4.945000E+00,+487.186E-03,-753.204E-03,+2.617965E+00
-4.940000E+00,+487.186E-03,-833.606E-03,+2.635553E+00
-4.935000E+00,+446.985E-03,-773.304E-03,+2.597864E+00
-4.930000E+00,+487.186E-03,-996.922E-03,+2.635553E+00
-4.925000E+00,+487.186E-03,-873.807E-03,+2.617965E+00
-4.920000E+00,+446.985E-03,-554.711E-03,+2.597864E+00
-4.915000E+00,+469.598E-03,-594.912E-03,+2.638065E+00
-4.910000E+00,+487.186E-03,-1.034611E+00,+2.517462E+00
-4.905000E+00,+487.186E-03,-471.796E-03,+2.497362E+00
-4.900000E+00,+449.497E-03,-393.907E-03,+2.635553E+00
-4.895000E+00,+467.085E-03,-511.997E-03,+2.617965E+00
-4.890000E+00,+487.186E-03,-34.611E-03,+2.638065E+00
-4.885000E+00,+467.085E-03,-715.515E-03,+2.597864E+00
-4.880000E+00,+487.186E-03,-833.606E-03,+2.396859E+00
-4.875000E+00,+467.085E-03,-672.801E-03,+2.474749E+00
-4.870000E+00,+487.186E-03,+85.992E-03,+2.595352E+00
-4.865000E+00,+446.985E-03,-130.088E-03,+2.555151E+00
-4.860000E+00,+446.985E-03,+206.595E-03,+2.597864E+00
-4.855000E+00,+467.085E-03,-554.711E-03,+2.555151E+00
-4.850000E+00,+487.186E-03,+166.394E-03,+2.477261E+00
-4.845000E+00,+446.985E-03,-373.807E-03,+2.617965E+00
-4.840000E+00,+449.497E-03,-32.098E-03,+2.635553E+00
-4.835000E+00,+487.186E-03,-233.103E-03,+2.615452E+00
-4.830000E+00,+446.985E-03,-431.595E-03,+2.597864E+00
-4.825000E+00,+487.186E-03,+146.294E-03,+2.597864E+00
-4.820000E+00,+446.985E-03,-310.992E-03,+2.597864E+00
-4.815000E+00,+487.186E-03,+229.209E-03,+2.617965E+00
-4.810000E+00,+487.186E-03,-351.193E-03,+2.597864E+00
-4.805000E+00,+469.598E-03,+148.807E-03,+2.617965E+00
-4.800000E+00,+487.186E-03,+729.209E-03,+2.597864E+00
-4.795000E+00,+446.985E-03,+128.706E-03,+2.537563E+00
-4.790000E+00,+446.985E-03,+209.108E-03,+2.635553E+00
-4.785000E+00,+467.085E-03,+189.008E-03,+2.638065E+00
-4.780000E+00,+446.985E-03,+447.802E-03,+2.635553E+00
-4.775000E+00,+487.186E-03,+45.791E-03,+2.535050E+00
-4.770000E+00,+446.985E-03,+849.812E-03,+2.635553E+00
-4.765000E+00,+469.598E-03,+427.701E-03,+2.597864E+00
-4.760000E+00,-555.528E-03,+168.907E-03,+2.635553E+00
-4.755000E+00,-535.427E-03,+488.003E-03,+2.595352E+00
-4.750000E+00,-555.528E-03,+209.108E-03,+2.597864E+00
-4.745000E+00,-558.040E-03,+591.018E-03,+2.638065E+00
-4.740000E+00,-517.839E-03,+8.103E-03,+2.595352E+00
-4.735000E+00,-558.040E-03,+488.003E-03,+2.597864E+00
-4.730000E+00,-558.040E-03,+289.510E-03,+2.635553E+00
-4.725000E+00,-558.040E-03,+568.405E-03,+2.597864E+00
-4.720000E+00,-558.040E-03,+490.515E-03,+2.635553E+00
-4.715000E+00,-537.940E-03,+68.405E-03,+2.617965E+00
-4.710000E+00,-558.040E-03,+691.520E-03,+2.477261E+00
-4.705000E+00,-535.427E-03,+246.796E-03,+2.615452E+00
-4.700000E+00,-558.040E-03,+289.510E-03,+2.597864E+00
-4.695000E+00,-535.427E-03,+269.410E-03,+2.477261E+00
-4.690000E+00,-517.839E-03,+689.008E-03,+2.597864E+00
-4.685000E+00,-537.940E-03,+490.515E-03,+2.595352E+00
-4.680000E+00,-555.528E-03,+327.198E-03,+2.595352E+00
-4.675000E+00,-558.040E-03,+168.907E-03,+2.597864E+00
-4.670000E+00,-558.040E-03,-353.706E-03,+2.597864E+00
-4.665000E+00,-558.040E-03,+88.505E-03,+2.597864E+00
-4.660000E+00,-558.040E-03,+488.003E-03,+2.597864E+00
-4.655000E+00,-558.040E-03,-172.802E-03,+2.575251E+00
-4.650000E+00,-558.040E-03,-552.198E-03,+2.595352E+00
-4.645000E+00,-537.940E-03,-514.510E-03,+2.597864E+00
-4.640000E+00,-517.839E-03,+367.399E-03,+2.635553E+00
-4.635000E+00,-537.940E-03,-474.309E-03,+2.615452E+00
-4.630000E+00,-595.729E-03,-672.801E-03,+2.597864E+00
-4.625000E+00,-537.940E-03,-293.405E-03,+2.597864E+00
-4.620000E+00,-517.839E-03,-34.611E-03,+2.597864E+00
-4.615000E+00,-558.040E-03,-331.093E-03,+2.535050E+00
-4.610000E+00,-555.528E-03,-514.510E-03,+2.597864E+00
-4.605000E+00,-558.040E-03,-836.118E-03,+2.597864E+00
-4.600000E+00,-555.528E-03,-713.003E-03,+2.597864E+00
-4.595000E+00,-535.427E-03,-373.807E-03,+2.597864E+00
-4.590000E+00,-558.040E-03,+85.992E-03,+2.597864E+00
-4.585000E+00,-558.040E-03,-310.992E-03,+2.597864E+00
-4.580000E+00,-558.040E-03,-994.410E-03,+2.514950E+00
-4.575000E+00,-537.940E-03,-652.701E-03,+2.597864E+00
-4.570000E+00,-558.040E-03,-351.193E-03,+2.597864E+00
-4.565000E+00,-558.040E-03,-896.420E-03,+2.575251E+00
-4.560000E+00,-517.839E-03,-632.600E-03,+2.595352E+00
-4.555000E+00,-517.839E-03,-675.314E-03,+2.597864E+00
-4.550000E+00,-517.839E-03,-672.801E-03,+2.597864E+00
